case_id,symptom,topology_note,show_output_evidence,expected_fault,osi_layer,concept_tag,severity,reference_source_note
CASE-011,Client obtains DHCP address but receives IP conflict error pop-up; connectivity drops,PC1 receives 192.168.1.100 via DHCP. Network printer PR1 has static IP 192.168.1.100.,"R1# show ip dhcp conflict -> Detection method: Ping, IP address: 192.168.1.100; PC1 Event Log: 'The system detected an address conflict for IP address 192.168.1.100'",Static IP assigned to printer overlaps with DHCP pool scope without being excluded with 'ip dhcp excluded-address',Network (Layer 3),DHCP_IP_Conflict,High,Adapted from Cisco IOS IP Addressing Services Command Reference
CASE-012,DHCP Offer packets dropped after enabling switch security; clients cannot obtain IP,Clients on S1 access ports. S1 connects to DHCP server via trunk port Gi0/1. DHCP snooping enabled on S1.,S1# show ip dhcp snooping -> DHCP snooping is enabled on VLAN 10; S1# show ip dhcp snooping binding -> 0 bindings; S1# show ip dhcp snooping | section Gi0/1 -> Trusted: No,Trunk uplink Gi0/1 facing the DHCP server is untrusted in DHCP snooping ('ip dhcp snooping trust' missing),Data Link (Layer 2),DHCP_Snooping,High,Adapted from NetAcad SRWE Lab 10.4.3 (Troubleshoot LAN Security)
CASE-013,Workstations can ping external IP (8.8.8.8) but cannot browse websites using domain names,"Host PC configured with static IP 192.168.1.20/24, Gateway 192.168.1.1, DNS 192.168.1.250. Valid DNS is 192.168.1.2.","PC> ping 8.8.8.8 -> Reply from 8.8.8.8: bytes=32 time=12ms; PC> nslookup cisco.com -> DNS request timed out, Server: UnKnown, Address: 192.168.1.250",Incorrect DNS server IP configured on host workstation (192.168.1.250 instead of 192.168.1.2),Application (Layer 7),DNS,High,Adapted from NetAcad ITN Lab 17.8.3 (Troubleshooting Challenge)
CASE-014,Internal DNS queries fail across perimeter firewall/router; local hosts cannot resolve names,Internal clients on 10.0.1.0/24 query external DNS server 208.67.222.222 via edge router R1.,"PC> nslookup example.com -> DNS request timed out; R1# show access-lists 101 -> 10 permit tcp 10.0.1.0 0.0.0.255 any eq 53 (0 matches), 20 deny ip any any (450 matches)",ACL 101 only permits TCP port 53; UDP port 53 (standard DNS query protocol) is blocked by implicit deny,Transport (Layer 4),DNS_ACL,High,Adapted from NetAcad ENSA Lab 4.4.4 (Troubleshoot IPv4 ACLs)
CASE-015,Router cannot resolve hostnames in CLI; ping server1.lab.local fails with Unknown host,Router R1 management CLI trying to ping internal syslog/FTP server by hostname.,"R1# ping server1.lab.local -> Translating ""server1.lab.local""...domain server (255.255.255.255) % Unrecognized host; R1# show running-config | include name-server -> no 'ip name-server' configured",Missing 'ip name-server <DNS_IP>' and 'ip domain-lookup' configuration on the Cisco IOS router,Application (Layer 7),DNS_Config,Medium,Adapted from Cisco IOS Basic System Management Command Reference
CASE-016,Branch router R1 cannot reach HQ server subnet (10.20.0.0/16); pings from R1 drop,Branch R1 connects to ISP via Serial0/0/0 (198.51.100.1/30). Next-hop is ISP Serial0/0/0 (198.51.100.2).,"R1# show ip route -> Gateway of last resort is not set; 198.51.100.0/30 is directly connected, Serial0/0/0; No static or default route exists for 10.20.0.0/16",Missing static route or default route ('ip route 0.0.0.0 0.0.0.0 198.51.100.2') to upstream router,Network (Layer 3),Static_Routing,Critical,Adapted from NetAcad SRWE Lab 14.3.5 (Troubleshoot Static and Default Routes)
CASE-017,Static route installed on Router R1 is inactive and does not appear in the routing table,R1 has Gi0/0 (192.168.10.1/24) and Gi0/1 (10.0.0.1/30). Static route configured: 'ip route 172.16.1.0 255.255.255.0 10.0.1.2'.,R1# show ip route static -> (empty); R1# show running-config | include ip route -> ip route 172.16.1.0 255.255.255.0 10.0.1.2; R1# show ip route 10.0.1.2 -> % Network not in table,Static route next-hop IP 10.0.1.2 is unreachable/unresolvable (recursive routing failure; next-hop typo),Network (Layer 3),Static_Routing,High,Adapted from NetAcad SRWE Module 14 & CCNA Routing Protocols Guide
CASE-018,OSPF neighbor adjacency stuck in EXSTART/EXCHANGE state between R1 and R2,R1 Gi0/0 (10.1.1.1/30) connects to R2 Gi0/0 (10.1.1.2/30). Area 0.,R1# show ip ospf neighbor -> Neighbor ID 2.2.2.2 Pri 1 State EXSTART/DROTHER Dead Time 00:00:33; R1# show interfaces Gi0/0 -> MTU 1500 bytes; R2# show interfaces Gi0/0 -> MTU 1400 bytes,Interface MTU mismatch between OSPF neighbors (R1 MTU 1500 vs R2 MTU 1400 prevents DBD exchange),Network (Layer 3),OSPF_Adjacency,High,Adapted from NetAcad ENSA Lab 2.7.1 (Troubleshoot Single-Area OSPFv2)
CASE-019,OSPF neighbor adjacency fails to form; no neighbor listed in show ip ospf neighbor,R1 Gi0/0 connects to R2 Gi0/0. Both routers configured with 'router ospf 1'.,"R1# show ip ospf interface Gi0/0 -> Area 0, Hello 10, Dead 40; R2# show ip ospf interface Gi0/0 -> Area 1, Hello 10, Dead 40; R1# show ip ospf neighbor -> (empty)","OSPF Area ID mismatch on connecting link (R1 interface in Area 0, R2 interface in Area 1)",Network (Layer 3),OSPF_Adjacency,Critical,Adapted from NetAcad ENSA Lab 2.7.2 (Troubleshoot OSPFv2 Neighbor Relationships)
CASE-020,"OSPF neighbor adjacency forms, but R2 LAN subnet (192.168.20.0/24) is not advertised to R1",R2 Gi0/1 connects to LAN 192.168.20.0/24. R2 runs OSPF process 1.,"R1# show ip route ospf -> (empty); R2# show running-config | section router ospf -> router ospf 1, network 10.1.1.0 0.0.0.3 area 0 (missing 192.168.20.0 network statement)",Missing 'network 192.168.20.0 0.0.0.255 area 0' statement (or interface ospf activation) on R2,Network (Layer 3),OSPF_Routing,High,Adapted from NetAcad ENSA Lab 2.7.1 (Single-Area OSPFv2 Configuration)
CASE-021,OSPF neighbor hello packets ignored; adjacency drops after dead timer expires,R1 Gi0/1 connects to R2 Gi0/1. Hello timer modified on R1.,"R1# show ip ospf interface Gi0/1 -> Hello 5, Dead 20; R2# show ip ospf interface Gi0/1 -> Hello 10, Dead 40; Syslog: %OSPF-5-ADJCHG: Process 1, Nbr 2.2.2.2 on Gi0/1 from FULL to DOWN, Neighbor Down: Dead timer expired",OSPF Hello and Dead timer mismatch between adjacent interfaces (5/20 vs 10/40),Network (Layer 3),OSPF_Adjacency,High,Adapted from Cisco OSPF Neighbor States Reference & NetAcad ENSA Lab 2.7.2
CASE-022,HR VLAN cannot access Web Server in Server Farm; all HTTP traffic times out,HR Subnet: 192.168.10.0/24. Web Server: 172.16.50.100 (Port 80/443). ACL 100 applied inbound on R1 Gi0/0.,"R1# show access-lists 100 -> 10 deny ip 192.168.10.0 0.0.0.255 any (245 matches), 20 permit tcp any host 172.16.50.100 eq 80; R1# show running-config interface Gi0/0 -> ip access-group 100 in",ACL statement order error: Broad 'deny ip 192.168.10.0' rule is evaluated before the specific 'permit tcp' rule,Network (Layer 3),ACL_Extended,Critical,Adapted from NetAcad ENSA Lab 4.4.4 (Troubleshoot IPv4 ACLs)
CASE-023,Branch network cannot SSH into Edge Router management interface; pings succeed,Admin PC (192.168.1.100) attempting SSH to Router R1 (192.168.1.1).,"Admin-PC> ssh -l admin 192.168.1.1 -> Connection refused/timed out; R1# show running-config | section line vty -> line vty 0 4, access-class 21 in; R1# show access-lists 21 -> 10 permit 192.168.2.0 0.0.0.255",Standard ACL 21 applied to VTY lines permits only 192.168.2.0/24; 192.168.1.100 is blocked by implicit deny,Network (Layer 3),ACL_Standard_VTY,High,Adapted from NetAcad ITN Lab 16.5.1 & ENSA Lab 4.2.7 (Securing VTY with ACL)
CASE-024,Outbound traffic from Engineering VLAN blocked at border router; show access-lists shows hits on deny,Engineering Subnet 10.10.0.0/16. ACL 110 placed on R1 Gi0/1 (Outbound to ISP).,"R1# show access-lists 110 -> 10 permit ip 10.10.0.0 0.0.255.255 any (0 matches), 20 deny ip any any (132 matches); R1# show running-config interface Gi0/1 -> ip access-group 110 out","Wildcard mask error in ACL 110 ('0.0.255.255' represents /16 inverted, but engineering subnet is /24 '10.10.0.0 0.0.0.255' or subnets mismatched)",Network (Layer 3),ACL_Wildcard_Mask,Medium,Adapted from NetAcad ENSA Lab 4.4.4 & Cisco ACL Wildcard Mask Reference
CASE-025,Web clients cannot reach intranet HTTPS server after applying outbound ACL on router interface,Clients 192.168.1.0/24 accessing internal Web Server 10.0.0.50 on port 443.,R1# show access-lists 105 -> 10 permit tcp any host 10.0.0.50 eq 443; R1# show running-config interface Gi0/0 -> ip access-group 105 in (traffic from server returning to clients has no permit),ACL lacks return traffic rule ('permit tcp any any established') or was placed in the wrong interface direction (inbound on LAN instead of DMZ),Transport (Layer 4),ACL_Direction,High,Adapted from NetAcad ENSA Lab 4.4.4 (Troubleshoot Extended ACLs)
CASE-026,Internal LAN clients cannot access Internet; ping to public IP 203.0.113.1 fails,Internal LAN: 192.168.1.0/24. Edge Router R1 WAN IP: 209.165.200.225/30 on Serial0/1/0.,PC1> ping 209.165.200.226 -> Request timed out; R1# show ip nat translations -> (empty); R1# show running-config | include ip nat -> ip nat inside source list 1 interface Serial0/1/0; R1# show access-lists 1 -> (empty/missing),ACL 1 referenced by the NAT inside source command does not exist or has no permit entries for 192.168.1.0/24,Network (Layer 3),NAT_PAT,Critical,Adapted from NetAcad ENSA Lab 5.4.3 (Troubleshoot NAT Configuration)
CASE-027,Only one internal host can access the Internet simultaneously; subsequent hosts time out,Internal Subnet 192.168.10.0/24. Router R1 WAN interface Gi0/0/1 (Public IP 203.0.113.5).,"R1# show ip nat translations -> Pro Inside global: 203.0.113.5, Inside local: 192.168.10.15; R1# show running-config | include ip nat -> ip nat inside source list 10 interface GigabitEthernet0/0/1","Missing 'overload' keyword on 'ip nat inside source list 10 interface Gi0/0/1', causing dynamic one-to-one NAT instead of PAT",Network (Layer 3),NAT_PAT,Critical,Adapted from NetAcad ENSA Lab 5.4.3 & Cisco IOS NAT Configuration Guide
CASE-028,NAT translations not occurring; show ip nat translations is completely empty despite active traffic,Router R1 connects LAN on Gi0/0 and ISP on Gi0/1. NAT overload configured for ACL 5.,R1# show running-config interface Gi0/0 -> (missing 'ip nat inside'); R1# show running-config interface Gi0/1 -> ip nat outside; R1# show ip nat translations -> (empty),LAN interface Gi0/0 is missing the 'ip nat inside' configuration command,Network (Layer 3),NAT_Interfaces,High,Adapted from NetAcad ENSA Lab 5.4.3 (Troubleshoot NAT)
CASE-029,Static NAT for DMZ Web Server fails; external users cannot access public IP 209.165.201.5,DMZ Web Server private IP: 192.168.50.10. Public IP: 209.165.201.5. Edge Router R1.,R1# show running-config | include ip nat inside source static -> ip nat inside source static 192.168.50.100 209.165.201.5; R1# show ip interface brief | include 192.168.50 -> Server IP is 192.168.50.10,Static NAT command has typo in the local private IP address (192.168.50.100 instead of 192.168.50.10),Network (Layer 3),NAT_Static,High,Adapted from NetAcad ENSA Lab 5.2.6 & 5.4.3
CASE-030,Wireless laptop cannot connect to Corporate SSID; receives 'Unable to connect to this network',Laptop-1 connecting to SSID 'Corp-Secure' managed by Cisco WLC / Lightweight AP.,"Laptop Wi-Fi status: Disconnected; WLC# show wlan summary -> WLAN ID: 1, Profile Name: Corp-Secure, SSID: Corp-Secure, Status: Disabled",WLAN profile 'Corp-Secure' is disabled in the Wireless LAN Controller (WLC admin state is Disabled),Data Link (Layer 2),Wireless_WLC,High,Adapted from NetAcad SRWE Lab 13.5.1 (Troubleshoot WLAN Issues on WLC)
CASE-031,Wireless clients associate with SSID 'Guest-WiFi' but fail to receive IP address from DHCP,WLC with AP1. SSID 'Guest-WiFi' mapped to interface 'guest-interface' (VLAN 40).,"Laptop> ipconfig -> 0.0.0.0; WLC# show interface summary -> guest-interface: VLAN 40, Port 1; S1# show vlan brief -> VLAN 40 does not exist on Switch S1","VLAN 40 is not created on the upstream distribution switch, dropping all tagged DHCP traffic from WLC interface",Data Link (Layer 2),Wireless_VLAN,High,Adapted from NetAcad SRWE Lab 13.4.5 (Packet Tracer - Troubleshoot WLAN Issues)
CASE-032,Switch port shuts down immediately when user connects a new laptop; port LED amber,User on Switch S1 interface FastEthernet0/10. Port security configured with max MAC 1.,"S1# show interfaces Fa0/10 status -> Fa0/10 err-disabled; S1# show port-security interface Fa0/10 -> Port Security: Enabled, Port Status: Secure-shutdown, Violation Mode: Shutdown, Last Source Address: 0050.7966.6803",Port security violation triggered err-disabled state due to unauthorized MAC address on Fa0/10,Data Link (Layer 2),Port_Security,High,Adapted from NetAcad SRWE Lab 10.4.3 (Troubleshoot LAN Security)
CASE-033,Spanning Tree loop detected; high CPU utilization and broadcast radiation across switch fabric,"Switch loop between S1, S2, S3 with redundant Gigabit uplinks. STP mode: PVST+.","S1# show spanning-tree summary -> UplinkFast: disabled, BPDU Guard: disabled; S2# show interfaces status -> Gi0/1 and Gi0/2 link lights flashing green rapidly; CPU 98%","STP was accidentally disabled globally on S2 ('no spanning-tree vlan 1-4094'), causing unmanaged Layer 2 broadcast storm",Data Link (Layer 2),Spanning_Tree,Critical,Adapted from NetAcad SRWE Lab 5.1.9 (Troubleshoot STP)
CASE-034,Subnet mask mismatch causes host to reject direct Layer 2 communication with neighbor,Host A (192.168.1.10/24) and Host B (192.168.1.150/26) on the same VLAN and switch. Host B cannot ping Host A.,"Host-A> ipconfig -> IP: 192.168.1.10, Mask: 255.255.255.0; Host-B> ipconfig -> IP: 192.168.1.150, Mask: 255.255.255.192. Host B considers 192.168.1.10 remote and sends ARP to nonexistent gateway.",Host B has incorrect subnet mask /26 (255.255.255.192) restricting its broadcast domain to .128-.191,Network (Layer 3),IP_Subnetting,Medium,Adapted from NetAcad ITN Lab 11.5.5 (Subnetting Scenarios)
